# qlnes-spike-trace v0
# columns: cpu_cycle	addr_hex	value_hex
1897495	4014	02
1898098	4000	30
1898106	4002	ad
1898125	4004	30
1898133	4006	ad
1898152	4008	80
1898160	400a	ad
1898168	400b	06
1898176	400c	f0
1898184	400e	0f
1898280	4016	01
1898286	4016	00
1898483	4016	01
1898489	4016	00
1898686	4016	01
1898692	4016	00
1927275	4014	02
1927878	4000	30
1927886	4002	ad
1927905	4004	30
1927913	4006	ad
1927932	4008	80
1927940	400a	ad
1927948	400b	06
1927956	400c	f0
1927964	400e	0f
1957054	4014	02
1957661	4000	30
1957669	4002	ad
1957688	4004	30
1957696	4006	ad
1957715	4008	80
1957723	400a	ad
1957731	400b	06
1957739	400c	f0
1957747	400e	0f
1957833	4016	01
1957839	4016	00
1958036	4016	01
1958042	4016	00
1958239	4016	01
1958245	4016	00
1986834	4014	02
1987437	4000	30
1987445	4002	ad
1987464	4004	30
1987472	4006	ad
1987491	4008	80
1987499	400a	ad
1987507	400b	06
1987515	400c	f0
1987523	400e	0f
1987619	4016	01
1987625	4016	00
1987822	4016	01
1987828	4016	00
1988025	4016	01
1988031	4016	00
2016614	4014	02
2017217	4000	30
2017225	4002	ad
2017244	4004	30
2017252	4006	ad
2017271	4008	80
2017279	400a	ad
2017287	400b	06
2017295	400c	f0
2017303	400e	0f
2017399	4016	01
2017405	4016	00
2017602	4016	01
2017608	4016	00
2017805	4016	01
2017811	4016	00
2046394	4014	02
2046997	4000	30
2047005	4002	ad
2047024	4004	30
2047032	4006	ad
2047051	4008	80
2047059	400a	ad
2047067	400b	06
2047075	400c	f0
2047083	400e	0f
2047179	4016	01
2047185	4016	00
2047382	4016	01
2047388	4016	00
2047585	4016	01
2047591	4016	00
2076174	4014	02
2076777	4000	30
2076785	4002	ad
2076804	4004	30
2076812	4006	ad
2076831	4008	80
2076839	400a	ad
2076847	400b	06
2076855	400c	f0
2076863	400e	0f
2076959	4016	01
2076965	4016	00
2077162	4016	01
2077168	4016	00
2077365	4016	01
2077371	4016	00
2105954	4014	02
2106557	4000	30
2106565	4002	ad
2106584	4004	30
2106592	4006	ad
2106611	4008	80
2106619	400a	ad
2106627	400b	06
2106635	400c	f0
2106643	400e	0f
2135736	4014	02
2136343	4000	30
2136351	4002	ad
2136370	4004	30
2136378	4006	ad
2136397	4008	80
2136405	400a	ad
2136413	400b	06
2136421	400c	f0
2136429	400e	0f
2136520	4016	01
2136526	4016	00
2136723	4016	01
2136729	4016	00
2136926	4016	01
2136932	4016	00
2165515	4014	02
2166118	4000	30
2166126	4002	ad
2166145	4004	30
2166153	4006	ad
2166172	4008	80
2166180	400a	ad
2166188	400b	06
2166196	400c	f0
2166204	400e	0f
2166300	4016	01
2166306	4016	00
2166503	4016	01
2166509	4016	00
2166706	4016	01
2166712	4016	00
2195295	4014	02
2195898	4000	30
2195906	4002	ad
2195925	4004	30
2195933	4006	ad
2195952	4008	80
2195960	400a	ad
2195968	400b	06
2195976	400c	f0
2195984	400e	0f
2196080	4016	01
2196086	4016	00
2196283	4016	01
2196289	4016	00
2196486	4016	01
2196492	4016	00
2225075	4014	02
2225678	4000	30
2225686	4002	ad
2225705	4004	30
2225713	4006	ad
2225732	4008	80
2225740	400a	ad
2225748	400b	06
2225756	400c	f0
2225764	400e	0f
2225860	4016	01
2225866	4016	00
2226063	4016	01
2226069	4016	00
2226266	4016	01
2226272	4016	00
2254855	4014	02
2255458	4000	30
2255466	4002	ad
2255485	4004	30
2255493	4006	ad
2255512	4008	80
2255520	400a	ad
2255528	400b	06
2255536	400c	f0
2255544	400e	0f
2255640	4016	01
2255646	4016	00
2255843	4016	01
2255849	4016	00
2256046	4016	01
2256052	4016	00
2284635	4014	02
2285238	4000	30
2285246	4002	ad
2285265	4004	30
2285273	4006	ad
2285292	4008	80
2285300	400a	ad
2285308	400b	06
2285316	400c	f0
2285324	400e	0f
2314414	4014	02
2315021	4000	30
2315029	4002	ad
2315048	4004	30
2315056	4006	ad
2315075	4008	80
2315083	400a	ad
2315091	400b	06
2315099	400c	f0
2315107	400e	0f
2315193	4016	01
2315199	4016	00
2315396	4016	01
2315402	4016	00
2315599	4016	01
2315605	4016	00
